question,question_en,id,node_name
ارجو منكم افادتي باسعر الريال السعودي,,4,
كم اسعار العملات اليوم,,4,
ما هي اسعار العملات اليوم؟,,4,
بسأل من الريال القطري تشتري بي كم,,4,
كم سعر الشراء ريال سعودي,,4,
اسعار العملات الحالية كم لليوم 29/3,,4,
كم سعر اليورو,,4,
كم سعر الدولار اليوم,,4,
بسأل من أسعار العملات اليوم,,4,
بستفسر من سعر الصرف للريال والدولار والريال,,4,
عايز اعرف اسعار صرف العملات اليوم,,4,
اسعار العملات,,4,
هل ممكن طرح سعر العملة علي صفحتكم,,4,
اسعار العملة اليوم,,4,
كم يساوي ١٠٠٠٠جنيه مصر مقيل جنيه سوداني,,4,
سعر الضولار كم,,4,
داير اعرف اسعار العملات,,4,
عاوز اعرف اسعار العملات,,4,
سعر شراء الدولار,,,
,,,
,,,
هل بقدر اشتري دولار من البنك مع العلم اني مسافر ولدي تأشيرة وتذكرة طائرة,,5,foreign currencies exchange
وكم أقصي مبلغ من الدولار الذي استطيع الحصول عليه من البنك,,5,
ممكن اشتري ريال من البنك والمطلوب؟؟؟,,5,
داير اشتري دولار انا مسافر,,5,
ممكن اشتري دولار من البنك؟,,5,
داير ابدل عملة سودانية لي دولار,,5,
بستفسر من طريقة شراء الدولار من البنك,,5,
مطلوب مبلغ 10 الف يورو,,5,
,,5,
,,5,
,,5,
,,5,
,,5,
,,5,
,,5,
,,5,
,,,
,,,
,,,
,,,
,,,
داير افتح حساب ادخار,,6,Saving + dollar account creation
ما هى المتطلبات والشروط لفتح الحساب,,6,
وكم المبلغ يتم ايداعه لفتح الحساب,,6,
وطريقة فتح حساب ادخار,,6,
بسأل من فتح حسأب عندكم بي كم,,6,
ممكن افتح حساب,,6,
داير افتح حساب ادخار ما هى المتطلبات والشروط لفتح الحساب,,6,
وكم من المبلغ يتم إيداعه لفتح الحساب,,6,
وكم من المبلغ يتم ايداعه لفتح الحساب,,6,
يوجد فتح حساب في الفروع,,6,
داير افتح عندكم حساب المطلوب شنو,,6,
سأل من مميزات حساب التوفير شنو؟ و ما هو المبلغ المطلوب لفتح حساب التوفير؟,,6,
وكيف افتح حساب بنكي,,6,
المطلوووب شو لقفتح حساااب,,6,
خطوات فتح الحساب ,,6,
داير افتح لي حساب,,6,
عايز افتح حساب جديد,,6,
و خلال كم يوم بعد افتح حساب يستلم بطاقة الصراف و اشغل تطبيق البنك الأهلي السوداني,,6,
سلام انا داير افتح حساب,,6,
أود فتح حساب جاري لدي البنك الأهلي السوداني,,6,
ارجو التكرم بإرسال متطلبات فتح الحساب,,6,
وهل يوجد فتح حساب بالنقد الاجنبى,,6,
داير أفتح حساب بالعملة الأجنبية ,,6,
عاوز أفتح حساب بالعملة الأجنبية,,6,
حساب الدولار بفتحو كيف,,6,
شنو المطلوب عشان افتح حساب اجنبي,,6,
شنو المطلوب عشان افتح حساب بالنقد الاجنبي,,6,
شنو المطلوب عشان افتح حساب بالدولار,,6,
داير افتح حساب يورو,,6,
مطلوبات حساب الدولار,,6,
داير افتح حساب دولار,,6,
,,,
,,,
,,,
,,,
,,,overseas account creation
كيف انشي حساب ف البنك الاهلي السوداني وانا خارج السودان,,7,
"سلام عليكم هل اغدر افتح حساب مقيم بالسعودية

",,7,
كيف اعمل حساب انا موجد في السعوديه,,7,
هل يمكن عمل حساب من السعودية على بنككم,,7,
هل يوجد لديكم فتح حساب عبر النت,,7,
,,7,
وكم السقف للتحويل لليومي,,7,
انا مقيم في السعوديه ممكن افتح حساب بالريال عندكم من هنا,,7,
عاوز اسال كيف ممكن اعمل حساب عندكم مع العلم انا مقيم خارج السودان,,7,
هل استطيع فتح حساب لديكم وانلاين علما بأني بالخارج,,7,
ياخ العزيز بسأل من فتح حساب للمغتربين,,7,
كيف افتح حساب وانا خارج الوطن,,7,
عايز استفسر هل ممكن افتح حساب وانا بره السودان,,7,
كيف اقدر افتح حساب اونلاين,,7,
كيف اقدر افتح حساب اونلاين هل متوفر اونلاين,,7,
انا في السعودية كيف ممكن الفتح حساب عندكم,,7,
لو سمحتم دأير أفتح حسأب عندكم لي تحويل بجي من ألسعودية,,7,
,,,
,,,
,,,
,,,
,,,
عندى سؤال,Is anyone available to chat?,8,I have a question
عندي استفسار,I have a question. Can you help?,8,
داير اسال,,8,
داير استفسر,,8,
داير اعرف ,,8,
الحنك شنو ,,8,
عندي سؤال سريع,,8,
السؤال,,8,
لديّ سؤال. هل يمكنك المساعدة؟,,8,
هل يمكنني الدردشة مع شخص ما؟,,8,
دايركم توروني حاجة,,8,
سؤال لو سمحتو,,8,
داير لي زول يساعدني,,8,
ممكن تدوني اجابة لي كم حاجة كدا؟,,8,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
داير اعرف فروعكم,,9,branches
داير اعرف فروعكم فى ولايه الخرطوم,,9,
بسأل من موقع البنك في مدني,,9,
هل يوجد لديكم فرع في حلفا الجديده,,9,
افيدونا بفروع البنك الاهلي شرق النيل او الخرطوم بحري,,9,
وين موقعكم في السوق العربي,,9,
مواعيد العمل؟,,9,
عندكم فرع في السجانه,,9,
فرع المنشية بقفل الساعة كم ؟,,9,
,,9,
عندكم فرع فى امبدة أو امدرمان,,9,
,,9,
مقركم وين,,9,
ما هو أقرب فرع للبنك من شارع الستين؟,,9,
طيب وين مكاتبكم,,9,
فروعكم ف امدرمان,,9,
وهل تم فتح فروع امدرمان,,9,
بسأل من فرعكم حق بحري تم افتتاحوا ولا لسا,,9,
شكر مكن مواقع الفروع. البنك,,9,
اديني اسماء الفروع للبنك الأهلي السوداني في الخرطوم والولايات,,9,
مواقع البنك الأهلي السوداني يعني,,9,
اقرب فرع لي جبرة مسجد بلال وين,,9,
ندكم فرع قريب لي في بحري شمأل جهة ألكدرو أو شأرع ألمعونة,,9,
و هل يوجد فرع في مدينة بحري,,9,
هل عندكم فرع فى كوستى,,9,
محلاتكم وين,,9,
وين اراضيكم,,9,
,,,
بالنسبه للتحويل من السعوديه للسودان هل الاستلام بكون بالريال او الجنيه السوداني,,10,international money transfer
بالنسبه للتحويل من السعوديه للسودان,,10,
كيف طريقة التحويل من السعوديه؟,,10,
عندي حوالة من السودان لي السعوديه كيف يمكن ذالك,,10,
من اي بنك اغدر احول من السعوديه,,10,
كيفية التحويل من السعودية,,10,
كيفية التحويل من المملكة,,10,
داير استفسر عن التحويل عن طريق بنككم للتحويل بالجنيه السوداني للخارج,,10,
وهل سيستلم الطرف الآخر التحويلة بالدولار او بعملة البلد المرسل إليه,,10,
بسأل من طريقة التحويل من المملكة,,10,
سلام عليكم في طريقة تحويل من السعوديه الى بنك الاهلى السوداني,,10,
السلام عليكم هل بقدر احول من هنا لي مصر؟,,10,
كيف يمكن التحويل من المملكه السعوديه,,10,
شغال تحويل من السودان الي بيروت ؟,,10,
انا في السعوديه عايز ارسل السودان بالبنك كيف,,10,
عايز أحول من السودان إلى دبي,,10,
عايز أحول من السودان إلى دبي ذا ما عندي حساب في فرعكم,,10,
اقصي مبلغ كم للتحويل كم,,10,
التحويل من اليمن للسودان شغال؟,,10,
بتحولو الهند؟,,10,
او التحويل عند طريقكم في السعوديه,,10,
لو عاوز احول مبلغ من الامارات بتحول في حسابي عادي,,10,
يوجد تحويل من تنزانيا الى اسطنبول,,10,
بستفسر عن التحويل من السودان الي الصين,,10,
تحويل من ليبيا لي السودان ماف,,10,
هل من الممكن اورد شيك مقاصه دولار واحولو الي الخارج وتسليم المستفيد دولار كاش,,10,
وهل ممكن ارسل واستقبل من السودان للسعودية والعكس,,10,
,,,
,,,
,,,
,,,
بسأل من الودائع الاستثمارية,,11,investment deposit
بسأل من الودائع الاستثمارية شروطها و ارباحها و المده الزمنية,,11,
بستفسر عن الودائع الاستثمارية,,11,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
شكرا ليكم وشكرا لتعاملكم الراقي,,12,Thank You
عيد مبأرك وكل سنة وكل ألعأملين في ألبنك ألأهلي طيبين وكل عأم وأنتم بخير ولي محبة شخصية لهذأ ألبنك وجدت صفحتكم ألحلوة بألصدفة .وكل سنة طيبين,,12,
"ممتاز👍شكرا ليكم
",,12,
ربنا يجعله في ميزان حسناتكم,,12,
الله يكرمك في الدارين يارب,,12,
جازاك الله خير,,12,
❤️❤️,,12,
ألف شكر,,12,
فضل بنك,,12,
شكرا جزيلا وصلتكم امس واتممت معاملتي بكل يسر جزاكم الله الف خير,,12,
بالتقدم إن شاء الله,,12,
تسلم ي غالي,,12,
شكراً جزيلاً,,12,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
بسال من وظائف البنك خريجه علوم حاسوب,,13,work
نت عايز استفسر اذا في فرص فاتحه حاليا عندكم,,13,
اتمنى من الله الانضمام الى فريق العمل القائم خريجة محاسبة,,13,
هل عندكم فرص تدريب تريننج,,13,
انا طالبه في اكاديميه السودان للدراسات الماليه والمصرفية ، مفروض اعمل training في بنك او مؤسسة ماليه .,,13,
فا عايزة استفسر اذا البنك بيقدم فرص تدريب للطلبة او لا .,,13,
بستفسر عن وجود وظائف او تدريب,,13,
فرص تدريب ,,13,
هل توجد فرص تدريب للطلاب,,13,
عندكم وظائف لو سمحتو,,13,
,,13,
بسأل اذا كان عندكم فرص توظيف ؟,,13,
حابةاستفسر منكم إذا في تقديمات لوظائف بمؤسستكم العامرة,,13,
هل عندكم وظائف لحملة الدبلوم,,13,
عندكم وظائف محاسبة او مجال زاد صله بالإدارة,,13,
بسال اذا في فرص تقديم لوظائف مداخل خدمه ؟,,13,
,,,
,,,
,,,
,,,
,,,
عايز غرد اسافر ببهو,,14,loans
طيب الغروض العندكم شنو,,14,
بسأل من التمويل,,14,
هل ممكن تفيدني بمعلومات عن تمويل السيارات اذا متوفر في البنك؟,,14,
بسال من تمويل سيارات,,14,
هل يوجد تميل عقاري والكيفيه لمغترب خارج البلاد,,14,
داير اتسلف قروش,,14,
عاوز لي 3 مليون كدا افرش بيها شقق,,14,
ممكن اشيل لي قرض اشتري بيه عربية؟,,14,
ممكن الزول يغترض منكم كيف,,14,
شروط التمويل شنو,,14,
اكبر قرض ممكن تدوني ليه كم,,14,
المطلوب من الزول شنو للتمويل العقاري,,14,
عايز لي قرض زواج,,14,
دايرة غرض للدراسة خارج السودان,,14,
